institution_id,index,institution_name,street_address,city,country_subdivision,postal_code,country,country_code,region,website,latitude,longitude,overall_score,overall_rank,reputation_global_rank,reputation_local_rank,papers_rank,books_rank,citations_rank,research_power_rank,collaboration_rank,highly_cited_proportion_rank,regional_rank,country_rank,conference_rank,street_address_line_2,total_acad_staff,num_acad_staff_intl,total_students,num_intl_students,ug_degrees,master_degrees,phd_degrees,res_staff,ug_intake,mstrs_intake,phd_intake,is_tied_global,is_tied_regional,is_tied_country,keyword
110699,23,University of California--San Francisco,500 Parnassus Ave,San Francisco,CA,94143,United States,US,North America,http://www.ucsf.edu/,37.763986,-122.457975,84.1,15,27,23,51,388,20,23,358,11,13,13,1170,,,,,,,,,,,,,true,true,true,universityofcaliforniasanfrancisco
144050,63,University of Chicago,5801 S. Ellis Avenue,Chicago,IL,60637,United States,US,North America,http://www.uchicago.edu,41.7831,-87.6037,84.1,15,13,10,47,40,47,28,173,28,13,13,157,,,,,,,,,,,,,true,true,true,universityofchicago
170976,106,University of Michigan--Ann Arbor,500 S. State St. ,Ann Arbor,MI,48109,United States,US,North America,http://www.umich.edu,42.282,-83.7293,83.5,17,11,5,7,25,137,8,647,64,15,15,29,,5308,972,43873,7551,7450,4677,1556,1835,6826,3470,1668,true,true,false,universityofmichiganannarbor
499968,262,University of Toronto,315 Bloor Street W,Toronto,Ontario,M5S 2J7,Canada,CA,North America,http://www.utoronto.ca,43.663125,-79.396663,83.5,17,21,20,2,8,161,3,474,156,15,1,76,,3716,1331,74502,16234,11705,5653,1785,2528,13297,5789,1837,true,true,false,universityoftoronto
501693,421,University College London,Gower Street,London,,WC1E 6BT,United Kingdom,GB,Europe,http://www.ucl.ac.uk/,51.525599,-0.135568,83.4,19,24,57,4,4,88,5,334,56,3,3,72,,3300,1260,34785,18705,5015,8510,1205,3415,5705,7915,1050,false,false,false,universitycollegelondon
505571,753,Imperial College London,Exhibition Road,London,,SW7 2AZ,United Kingdom,GB,Europe,http://www3.imperial.ac.uk/,51.498598,-0.174202,83.3,20,16,59,24,67,68,14,170,41,4,4,41,,1490,605,17050,9720,2605,3915,855,2370,2670,3605,740,false,false,false,imperialcollegelondon
110680,22,University of California--San Diego,9500 Gilman Drive,La Jolla,CA,92093,United States,US,North America,http://www.ucsd.edu/,32.8771,-117.2378,83.1,21,35,27,30,106,61,20,153,27,17,16,99,,,,,,,,,,,,,false,false,false,universityofcaliforniasandiego
190415,140,Cornell University,,Ithaca,NY,14853,United States,US,North America,http://www.cornell.edu,42.4463,-76.4842,81.9,22,20,14,31,33,115,26,260,48,18,17,156,,2250,541,23016,5709,3675,2730,835,1015,3349,2348,953,false,false,false,cornelluniversity
198419,161,Duke University,,Durham,NC,27708,United States,US,North America,http://www.duke.edu/,36.0009,-78.9398,81.6,23,30,17,37,68,69,25,373,42,19,18,235,,,,,,,,,,,,,false,false,false,dukeuniversity
147767,71,Northwestern University,633 Clark Street,Evanston,IL,60208,United States,US,North America,http://www.northwestern.edu,42.0537,-87.6772,80.4,24,34,22,57,144,43,30,869,29,20,19,278,,,,,,,,,,,,,false,false,false,northwesternuniversity
501796,429,University of Melbourne,1-100 Grattan St,Parkville,Victoria,3010,Australia,AU,Australia/New Zealand,http://www.unimelb.edu.au/ ,-37.800176,144.961752,79.7,25,47,1,25,10,175,24,757,189,1,1,195,,,,,,,,,,,,,false,false,false,universityofmelbourne
502241,468,Swiss Federal Institute of Technology Zurich,Rämistrasse 101,Zurich,,CH-8092,Switzerland,CH,Europe,https://www.ethz.ch/en.html,47.376178,8.548106,79.5,26,15,2,65,101,147,54,728,43,5,1,31,,1393,921,19043,7696,1678,2196,802,1122,2937,2739,991,false,false,false,swissfederalinstituteoftechnologyzurich
505369,732,University of Sydney,,Sydney,New South Wales,2006,Australia,AU,Australia/New Zealand,http://sydney.edu.au/ ,-33.888584,151.187347,79,27,59,2,23,9,203,22,675,240,2,2,152,,2453,660,47719,20212,7205,8705,736,1253,9940,5719,441,false,false,false,universityofsydney
503146,543,Tsinghua University,,Beijing,,100084,China,CN,Asia,http://www.tsinghua.edu.cn/publish/newthuen/ ,39.999667,116.326444,78.5,28,32,4,15,73,432,27,63,192,1,1,1,,3226,579,37484,4992,3583,3811,1682,1969,3742,3356,2741,false,false,false,tsinghuauniversity
193900,149,New York University,70 Washington Square S,New York,NY,10012,United States,US,North America,http://www.nyu.edu,40.7257,-73.9983,78.4,29,28,21,67,16,71,45,519,61,21,20,259,,5029,744,44474,14923,6319,8672,1449,461,6069,6154,1428,false,false,false,newyorkuniversity
505832,777,University of Edinburgh,"Old College, South Bridge",Edinburgh,Scotland,EH8 9YL,United Kingdom,GB,Europe,http://www.ed.ac.uk/home,55.947432,-3.186517,78.3,30,53,60,73,20,41,41,486,57,6,5,140,,2545,915,30450,12000,4825,4470,915,1925,5960,4420,805,false,false,false,universityofedinburgh
499976,270,University of British Columbia,1200-1874 E. Mall,Vancouver,British Columbia,V6T 1Z4,Canada,CA,North America,http://you.ubc.ca/,49.260805,-123.245989,77.9,31,38,30,28,49,202,29,313,168,22,2,127,,2836,1220,55359,18105,9912,2893,1036,840,11626,1923,958,false,false,false,universityofbritishcolumbia
505009,700,National University of Singapore,21 Lower Kent Ridge Road,Singapore,,119077,Singapore,SG,Asia,http://www.nus.edu.sg/,1.296643,103.776394,77.5,32,19,9,38,18,334,48,703,144,2,,30,,1717,976,30943,8193,6797,,731,2149,7129,,687,false,false,false,nationaluniversityofsingapore
179867,121,Washington University in St. Louis,1 Brookings Drive,St. Louis,MO,63130,United States,US,North America,http://www.wustl.edu,38.6635,-90.3216,77.3,33,61,31,91,194,37,56,1173,32,23,21,559,,1822,298,13984,2888,1823,2135,707,1146,1862,1659,874,false,false,false,washingtonuniversityinstlouis
500330,310,King's College London,Strand,London,,WC2R 2LS,United Kingdom,GB,Europe,http://www.kcl.ac.uk/index.aspx,51.51201,-0.115794,77.2,34,56,99,62,5,72,42,500,53,7,6,360,,2200,830,27425,12475,4690,5350,665,1670,5585,4810,550,true,true,false,kingscollegelondon
503710,592,University of Copenhagen,Nørregade 10,Copenhagen,,1165,Denmark,DK,Europe,http://www.ku.dk/english/ ,55.680364,12.571396,77.2,34,93,21,22,39,132,17,689,110,7,1,504,,,,,,,,,,,,,true,true,false,universityofcopenhagen
199120,163,University of North Carolina--Chapel Hill,,Chapel Hill,NC,27599,United States,US,North America,http://www.unc.edu,35.9043,-79.0509,76.9,36,39,24,53,93,108,37,1013,76,24,22,415,,3787,286,30953,2647,4579,2235,1215,1554,5317,2730,2065,true,false,false,universityofnorthcarolinachapelhill
500164,294,University of Queensland Australia,,Brisbane,Queensland,4072,Australia,AU,Australia/New Zealand,http://www.uq.edu.au/ ,-27.495431,153.01203,76.9,36,79,3,32,46,268,35,628,224,3,3,290,,1137,370,40389,15398,7248,3663,1006,1354,7524,3856,1119,true,false,false,universityofqueenslandaustralia
503366,563,Nanyang Technological University,50 Nanyang Avenue,Singapore,,639798,Singapore,SG,Asia,http://www.ntu.edu.sg/Pages/home.aspx,1.34831,103.683135,76.6,38,44,17,85,49,249,82,612,72,3,,6,,1614,855,23902,5922,6256,,699,921,6262,,423,true,false,false,nanyangtechnologicaluniversity
228778,222,University of Texas--Austin,,Austin,TX,78712-1111,United States,US,North America,http://www.utexas.edu,30.2863,-97.7371,76.6,38,26,15,81,68,196,67,369,87,25,23,67,,,,,,,,,,,,,true,false,false,universityoftexasaustin
502957,527,University of Amsterdam,Spui 21,Amsterdam,,1012 WX,Netherlands,NL,Europe,http://www.uva.nl/en/home,52.368622,4.890187,76.4,40,89,20,55,37,103,38,868,58,9,1,382,,,,,,,,,,,,,false,false,false,universityofamsterdam
240444,247,University of Wisconsin--Madison,500 Lincoln Drive,Madison,WI,53706,United States,US,North America,http://www.wisc.edu,43.0748,-89.4082,76.2,41,29,18,39,54,224,39,717,141,26,24,163,,4042,431,39451,5157,7123,2201,1456,2009,7707,1461,1234,false,false,false,universityofwisconsinmadison
501597,413,King Abdulaziz University,Abdullah Sulayman,Jeddah,,21589,Saudi Arabia,SA,Asia,http://www.kau.edu.sa/home_ENGLISH.aspx,21.500372,39.245288,76,42,341,50,138,655,62,98,249,33,4,1,439,,4103,1914,31869,6956,9500,1935,742,3300,12124,3810,2133,false,false,false,kingabdulazizuniversity
529569,1497,Sorbonne Universite,"21, rue de l'Ecole-de-medecine",Paris,,75006,France,FR,Europe,https://www.sorbonne-universite.fr/en/university,49,2,75.7,43,71,11,11,91,343,18,382,301,10,1,40,,3416,276,43585,8687,5399,5809,1676,1593,9980,8504,1805,true,false,false,sorbonneuniversite
215293,193,University of Pittsburgh,4200 Fifth Avenue,Pittsburgh,PA,15260,United States,US,North America,http://www.pitt.edu/,40.4385,-79.9473,75.7,43,70,40,40,97,111,31,812,84,27,25,281,,4696,225,26761,3026,4668,2138,1040,1447,4764,1630,967,true,false,false,universityofpittsburgh
204796,177,Ohio State University--Columbus,154 W. 12th Avenue,Columbus,OH,43210,United States,US,North America,http://www.osu.edu,40.0014,-83.0174,75.6,45,55,29,33,32,216,32,549,167,28,26,121,,4506,1261,54650,6936,11456,2761,1662,1976,9603,1657,1587,false,false,false,ohiostateuniversitycolumbus
500951,362,University of Munich,Geschwister-Scholl-Platz,Munich,,80539,Germany,DE,Europe,http://www.en.uni-muenchen.de/index.html ,48.150163,11.580943,75.5,46,67,5,64,106,172,58,470,99,11,1,296,,1020,115,34252,5946,2862,3698,1294,479,4206,4818,1388,false,false,false,universityofmunich
174066,112,University of Minnesota--Twin Cities,100 Church Street SE,Minneapolis,MN,55455-0213,United States,US,North America,http://www.umn.edu,44.9731,-93.235,75.4,47,46,28,35,34,242,34,575,166,29,27,161,,4185,168,45710,5787,7811,3351,1666,1884,6475,,1801,false,false,false,universityofminnesotatwincities
504785,681,Catholic University of Leuven,Oude Markt 13 - bus 5005,Leuven,,3000,Belgium,BE,Europe,http://www.kuleuven.be/english ,50.877954,4.700295,75,48,63,8,45,47,261,49,629,187,12,1,50,,1265,183,45617,7049,5321,9037,853,1322,9867,10034,1274,true,true,false,catholicuniversityofleuven
503151,544,Karolinska Institute,"Solnavägen 1, Solna",Stockholm,,SE-171 77,Sweden,SE,Europe,http://ki.se/en/startpage,59.348148,18.023658,75,48,60,75,71,594,91,53,362,80,12,1,1366,,879,185,7696,1984,1134,1532,381,851,1610,1583,387,true,true,false,karolinskainstitute
500301,307,Monash University,Wellington Rd,Clayton,Victoria,3800,Australia,AU,Australia/New Zealand,http://www.monash.edu.au/ ,-37.91557,145.135602,75,48,76,4,36,22,311,43,706,357,4,4,250,,1317,343,57406,24746,12445,,805,1250,12271,7123,617,true,false,false,monashuniversity
